t_s	i_a
31.908	-0.0003477176
31.965	-0.0003464038
32.022	-0.0003471128
32.079	-0.000347238
32.135	-0.0003470711
32.192	-0.0003472171
32.249	-0.0003471128
32.306	-0.0003471546
32.363	-0.0003472797
32.420	-0.0003471337
32.477	-0.0003474882
32.533	-0.0003468626
32.590	-0.0003470711
32.647	-0.0003470503
32.703	-0.0003471337
32.760	-0.0003470711
32.817	-0.0003471963
32.874	-0.0003473631
32.931	-0.0003471754
32.989	-0.0003472588
33.045	-0.0003471337
33.102	-0.0003472797
33.160	-0.000346946
33.217	-0.0003469043
33.273	-0.0003471546
33.331	-0.0003470086
33.388	-0.0003468834
33.444	-0.0003474674
33.501	-0.0003472797
33.558	-0.000347384
33.615	-0.000347238
33.671	-0.0003473631
33.728	-0.0003474882
33.785	-0.0003474048
33.841	-0.000347238
33.898	-0.0003471546
33.955	-0.0003474257
34.012	-0.0003476134
34.068	-0.0003473214
34.126	-0.0003474882
34.183	-0.0003470294
34.240	-0.0003468626
34.298	-0.0003470503
34.355	-0.000347092
34.411	-0.0003476134
34.469	-0.0003471337
34.526	-0.0003469669
34.582	-0.0003476342
34.639	-0.0003471128
34.696	-0.0003470503
34.753	-0.000347092
34.810	-0.0003471963
34.867	-0.0003473422
34.924	-0.0003468417
34.981	-0.0003470503
35.037	-0.000346946
35.094	-0.0003472171
35.150	-0.0003474257
35.207	-0.000347092
35.264	-0.0003470503
35.321	-0.0003470294
35.378	-0.0003469877
35.436	-0.0003472797
35.492	-0.0003471128
35.549	-0.0003475299
35.606	-0.0003470294
35.663	-0.0003470294
35.720	-0.0003471337
35.776	-0.0003471337
35.833	-0.0003465289
35.890	-0.0003469877
35.947	-0.0003471963
36.004	-0.0003470711
36.061	-0.0003470711
36.117	-0.0003470503
36.174	-0.0003473214
36.231	-0.0003473631
36.288	-0.000347238
36.345	-0.0003476759
36.401	-0.0003471337
36.458	-0.0003472797
36.515	-0.0003474257
36.573	-0.0003472171
36.629	-0.0003473005
36.686	-0.0003478636
36.744	-0.0003472797
36.800	-0.0003471128
36.857	-0.0003470711
36.915	-0.000346946
36.972	-0.0003475508
37.029	-0.0003470086
37.085	-0.0003471337
37.142	-0.0003473422
37.199	-0.0003471546
37.255	-0.0003473214
37.312	-0.0003469669
37.369	-0.0003470711
37.426	-0.0003474048
37.483	-0.0003471963
37.539	-0.0003472171
37.596	-0.0003465915
37.653	-0.000347092
37.710	-0.0003470503
37.767	-0.000347092
37.824	-0.0003474257
37.881	-0.0003469251
37.938	-0.0003472171
37.995	-0.0003473005
38.053	-0.000347092
38.110	-0.0003476551
38.166	-0.0003471963
38.223	-0.0003470503
38.280	-0.0003470711
38.336	-0.0003469669
38.393	-0.0003472171
38.450	-0.0003474882
38.507	-0.0003470711
38.564	-0.0003471754
38.621	-0.0003470294
38.678	-0.0003472588
38.735	-0.0003471754
38.791	-0.0003472171
38.848	-0.0003473631
38.904	-0.0003473005
38.961	-0.0003471963
39.018	-0.0003470503
39.075	-0.0003465706
39.132	-0.000347238
39.190	-0.000347238
39.246	-0.0003471337
39.303	-0.000346946
39.361	-0.0003479053
39.417	-0.000347384
39.474	-0.0003471963
39.531	-0.0003473214
39.588	-0.0003475091
39.644	-0.0003474257
39.701	-0.0003469877
39.758	-0.0003473422
39.815	-0.0003471963
39.872	-0.000347092
39.928	-0.0003474465
39.985	-0.0003470711
40.042	-0.0003470294
40.099	-0.0003470711
40.156	-0.0003472588
40.213	-0.0003475299
40.270	-0.0003471546
40.328	-0.000347238
40.384	-0.0003471128
40.441	-0.0003472588
40.498	-0.0003470086
40.555	-0.0003469251
40.612	-0.000347092
40.669	-0.0003472171
40.726	-0.0003469043
40.783	-0.0003476134
40.839	-0.0003476342
40.896	-0.0003468209
40.954	-0.0003471754
41.010	-0.0003472171
41.067	-0.0003473631
41.124	-0.0003475091
41.180	-0.0003471546
41.237	-0.0003468834
41.294	-0.0003474674
41.351	-0.000346946
41.407	-0.0003472588
41.465	-0.0003472171
41.522	-0.0003472797
41.578	-0.0003471963
41.636	-0.0003477802
41.693	-0.0003475508
41.750	-0.0003473214
41.807	-0.0003472588
41.864	-0.0003472797
41.920	-0.0003473005
41.977	-0.0003468626
42.034	-0.0003474882
42.091	-0.0003471546
42.147	-0.0003471963
42.204	-0.0003471546
42.260	-0.0003472171
42.317	-0.0003476968
42.374	-0.0003470503
42.431	-0.000347092
42.488	-0.0003473214
42.545	-0.0003475299
42.603	-0.0003471128
42.659	-0.0003470086
42.716	-0.0003470711
42.774	-0.0003471754
42.831	-0.0003470711
42.888	-0.0003471337
42.946	-0.0003471546
43.003	-0.0003470294
43.059	-0.0003470086
43.116	-0.0003471754
43.173	-0.0003474674
43.229	-0.0003470711
43.286	-0.0003472797
43.343	-0.0003469877
43.400	-0.000348239
43.457	-0.0003470503
43.514	-0.000346654
43.570	-0.000347238
43.627	-0.0003472797
43.684	-0.0003471337
43.741	-0.0003475091
43.797	-0.0003471963
43.854	-0.0003474465
43.911	-0.0003471754
43.968	-0.0003471546
44.025	-0.0003468209
44.082	-0.0003470294
44.139	-0.0003473422
44.195	-0.0003471337
44.252	-0.000347092
44.309	-0.0003473005
44.365	-0.0003473422
44.422	-0.0003471546
44.479	-0.0003473005
44.535	-0.0003471337
44.592	-0.000347238
44.649	-0.0003471754
44.705	-0.0003465706
44.762	-0.0003471963
44.819	-0.0003470503
44.876	-0.000347092
44.932	-0.0003467583
44.989	-0.0003475299
45.046	-0.0003471754
45.103	-0.000346946
45.160	-0.0003468626
45.217	-0.0003471128
45.274	-0.0003470294
45.330	-0.0003470086
45.387	-0.0003470503
45.444	-0.0003470086
45.500	-0.0003474465
45.557	-0.0003476342
45.613	-0.0003471963
45.670	-0.0003472588
45.726	-0.0003473005
45.783	-0.0003472171
45.839	-0.0003465915
45.896	-0.0003471963
45.952	-0.0003469877
46.010	-0.0003469877
46.066	-0.0003471128
46.123	-0.0003469669
46.181	-0.0003478845
46.237	-0.000347238
46.294	-0.000347384
46.351	-0.0003469669
46.408	-0.0003472797
46.465	-0.0003470294
46.521	-0.0003472171
46.578	-0.0003473214
46.634	-0.000347092
46.691	-0.0003476134
46.748	-0.0003469669
46.804	-0.000346946
46.861	-0.0003471754
46.917	-0.0003470294
46.974	-0.0003471546
47.031	-0.0003469251
47.087	-0.0003474674
47.145	-0.0003468626
47.201	-0.000347238
47.257	-0.0003470711
47.315	-0.0003471128
47.372	-0.0003474048
47.428	-0.0003471754
47.485	-0.000347238
47.541	-0.0003470294
47.598	-0.0003473214
47.655	-0.0003470086
47.711	-0.0003475717
47.768	-0.0003471128
47.825	-0.0003471337
47.881	-0.000347238
47.938	-0.0003471546
47.994	-0.0003472797
48.051	-0.0003474882
48.108	-0.0003471546
48.165	-0.0003471337
48.221	-0.0003470711
48.278	-0.000346946
48.335	-0.0003473214
48.392	-0.0003471128
48.449	-0.0003471754
48.505	-0.0003469043
48.562	-0.0003472171
48.619	-0.0003474465
48.675	-0.0003468834
48.732	-0.0003471546
48.788	-0.0003471128
48.845	-0.0003470503
48.902	-0.0003471963
48.958	-0.0003472797
49.015	-0.0003474257
49.071	-0.0003473214
49.128	-0.0003477802
49.185	-0.0003470711
49.242	-0.0003472588
49.299	-0.0003469877
49.356	-0.0003469251
49.414	-0.000347092
49.470	-0.0003473214
49.527	-0.000347238
49.585	-0.0003472171
49.641	-0.0003471546
49.698	-0.0003471963
49.755	-0.0003470294
49.811	-0.0003465706
49.868	-0.0003469669
49.924	-0.0003474048
49.981	-0.0003473005
50.038	-0.0003475925
50.095	-0.0003468
50.151	-0.0003471128
50.208	-0.0003473005
50.265	-0.000347092
50.321	-0.0003476968
50.379	-0.0003467583
50.435	-0.0003470294
50.492	-0.0003472797
50.550	-0.0003472797
50.606	-0.0003472171
50.663	-0.0003471754
50.721	-0.0003471128
50.777	-0.0003473631
50.834	-0.0003471337
50.891	-0.0003474048
50.947	-0.0003473631
51.004	-0.0003473005
51.061	-0.0003473214
51.117	-0.0003472171
51.174	-0.000346946
51.230	-0.000347092
51.287	-0.0003473005
51.344	-0.000347384
51.400	-0.0003475299
51.457	-0.0003469877
51.515	-0.0003468209
51.572	-0.0003475508
51.628	-0.0003470086
51.686	-0.0003469877
51.744	-0.0003469251
51.800	-0.0003476551
51.858	-0.0003467166
51.915	-0.0003471754
51.971	-0.0003469669
52.028	-0.0003471963
52.085	-0.0003477594
52.141	-0.0003476134
52.198	-0.0003473214
52.255	-0.0003473214
52.311	-0.0003473422
52.368	-0.0003471754
52.425	-0.000347238
52.482	-0.0003470086
52.539	-0.0003469877
52.595	-0.0003470503
52.653	-0.0003467166
52.709	-0.0003473005
52.766	-0.0003475717
52.824	-0.0003469877
52.881	-0.0003471337
52.938	-0.000347384
52.995	-0.0003472588
53.052	-0.0003470503
53.109	-0.0003471337
53.166	-0.0003470711
53.223	-0.0003470711
53.279	-0.0003473631
53.336	-0.0003469877
53.393	-0.000347092
53.450	-0.000346946
53.507	-0.0003473214
53.563	-0.0003476968
53.620	-0.0003469251
53.677	-0.0003472797
53.734	-0.0003473422
53.790	-0.0003468417
53.847	-0.0003474048
53.903	-0.0003474674
53.961	-0.0003474882
54.017	-0.0003471963
54.074	-0.0003470711
54.132	-0.0003470503
54.188	-0.0003471128
54.245	-0.0003473422
54.302	-0.0003474257
54.359	-0.0003473631
54.416	-0.000347238
54.473	-0.0003472797
54.530	-0.0003468626
54.586	-0.0003473214
54.643	-0.0003473422
54.699	-0.0003474048
54.756	-0.0003470711
54.813	-0.0003473631
54.870	-0.0003471337
54.927	-0.0003472797
54.984	-0.0003472171
55.041	-0.000347238
55.098	-0.0003475717
55.155	-0.0003472797
55.211	-0.0003471337
55.269	-0.000347238
55.326	-0.0003468417
55.383	-0.0003469877
55.440	-0.0003476134
55.498	-0.0003468417
55.554	-0.0003471754
55.611	-0.0003471546
55.668	-0.0003474257
55.725	-0.0003473214
55.781	-0.0003471546
55.838	-0.0003469877
55.894	-0.000347092
55.951	-0.0003473005
56.008	-0.0003463621
56.064	-0.0003470086
56.121	-0.0003472171
56.178	-0.0003472588
56.235	-0.0003468209
56.292	-0.0003469251
56.348	-0.000347238
56.406	-0.0003473005
56.463	-0.0003470711
56.520	-0.0003473631
56.577	-0.0003473631
56.634	-0.0003472797
56.691	-0.0003470503
56.749	-0.0003474674
56.805	-0.0003474674
56.862	-0.0003472797
56.919	-0.0003466749
56.976	-0.0003469669
57.033	-0.0003471337
57.090	-0.0003473631
57.147	-0.0003470294
57.204	-0.0003475299
57.260	-0.0003471754
57.317	-0.0003470503
57.374	-0.0003474048
57.431	-0.000347092
57.488	-0.0003471337
57.545	-0.0003471128
57.602	-0.0003471337
57.658	-0.0003471337
57.716	-0.0003468417
57.773	-0.0003468417
57.830	-0.0003471337
57.888	-0.0003474257
57.945	-0.0003473005
58.002	-0.0003466332
58.059	-0.0003474465
58.116	-0.0003471754
58.172	-0.0003473631
58.229	-0.0003470711
58.286	-0.0003469043
58.343	-0.0003473005
58.399	-0.0003472588
58.456	-0.0003471963
58.513	-0.0003474257
58.569	-0.0003471337
58.626	-0.0003478428
58.683	-0.000347092
58.740	-0.0003471546
58.797	-0.0003472797
58.854	-0.0003473005
58.911	-0.0003468209
58.968	-0.0003473631
59.026	-0.000347238
59.083	-0.000346946
59.140	-0.0003471963
59.197	-0.0003471754
59.254	-0.0003479262
59.310	-0.000346946
59.367	-0.0003472171
59.423	-0.0003473214
59.480	-0.0003467792
59.537	-0.0003472588
59.594	-0.0003470711
59.651	-0.0003469251
59.708	-0.0003471754
59.764	-0.0003471754
59.821	-0.001083987
59.878	-0.001084633
59.935	-0.001083674
59.992	-0.001084571
60.049	-0.00108503
60.105	-0.00108432
60.164	-0.001084154
60.221	-0.001084529
60.277	-0.001084738
60.335	-0.001084779
60.391	-0.001084946
60.448	-0.00108455
60.505	-0.001084759
60.561	-0.001084174
60.618	-0.001084675
60.675	-0.001084988
60.731	-0.001084341
60.788	-0.009900029
60.933	-0.02071284
61.079	-0.005664761
61.136	-0.005666158
61.193	-0.005667472
61.249	-0.005668994
61.306	-0.005670788
61.362	-0.005674855
61.419	-0.005677566
61.477	-0.005682404
61.534	-0.00568645
61.590	-0.005680673
61.648	-0.005680923
61.705	-0.005681049
61.761	-0.005680882
61.819	-0.005680903
61.875	-0.005681111
61.932	-0.005680569
61.989	-0.005681841
62.046	-0.00568059
62.192	-0.03988914
62.249	-0.03988893
62.305	-0.03989081
62.362	-0.03988706
62.418	-0.03988747
62.475	-0.03989582
62.531	-0.03990313
62.588	-0.03989687
62.644	-0.03990522
62.701	-0.03991023
62.758	-0.03991649
62.815	-0.03991857
62.872	-0.03992692
62.929	-0.03992755
62.986	-0.03993924
63.043	-0.03994195
63.100	-0.03995197
63.157	-0.03995427
63.214	-0.03996324
63.270	-0.03996262
63.327	-0.03997097
63.383	-0.03997347
63.440	-0.03997702
63.496	-0.03998767
63.553	-0.03998955
63.610	-0.03999476
63.667	-0.03999915
63.723	-0.04000395
63.780	-0.04000604
63.837	-0.04001355
63.894	-0.04001397
63.950	-0.04001751
64.008	-0.04002273
64.197	-0.0003474882
64.253	-0.0003480722
64.310	-0.0003476342
64.367	-0.0003476968
64.423	-0.0003476134
64.480	-0.0003477594
64.537	-0.0003478219
64.594	-0.0003476134
64.651	-0.0003473631
64.708	-0.0003475508
64.764	-0.0003479888
64.821	-0.0003475508
64.879	-0.0003477385
64.936	-0.0003476342
64.992	-0.0003476551
65.049	-0.0003478011
65.106	-0.0003471546
65.163	-0.0003478011
65.220	-0.0003473422
65.276	-0.0003474674
65.333	-0.0003477176
65.390	-0.0003474257
65.446	-0.000347238
65.503	-0.0003474465
65.560	-0.0003477802
65.617	-0.0003473631
65.673	-0.0003473005
65.730	-0.0003475299
65.787	-0.0003475299
65.844	-0.000347384
65.901	-0.0003476342
65.958	-0.000347384
66.015	-0.0003475091
66.072	-0.0003471754
66.129	-0.0003474465
66.186	-0.0003475508
66.242	-0.000347238
66.299	-0.0003474257
66.356	-0.0003475508
66.413	-0.0003473631
66.469	-0.0003471754
66.526	-0.0003475091
66.583	-0.0003480305
66.640	-0.000347238
66.697	-0.0003475925
66.753	-0.0003472797
66.810	-0.0003471754
66.867	-0.0003473005
66.923	-0.0003468626
66.981	-0.0003473422
67.037	-0.0003475091
67.094	-0.0003476342
67.153	-0.0003474465
67.209	-0.0003474882
67.266	-0.0003477176
67.323	-0.0003474882
67.380	-0.0003472588
67.437	-0.000347384
67.493	-0.0003473214
67.550	-0.0003474465
67.607	-0.0003473631
67.664	-0.0003474257
67.721	-0.0003475717
67.778	-0.0003474674
67.835	-0.000347384
67.892	-0.0003475091
67.948	-0.0003475299
68.005	-0.0003474048
68.062	-0.0003473631
68.120	-0.0003478428
68.176	-0.0003475299
68.233	-0.000347384
